delta_power,theta_power,alpha_power,beta_power,gamma_power,max_amplitude,label,source
0.5850861930660979,0.18611744637324526,0.15885867458845668,0.06100082779422529,0.008936858177974849,0.00012945226173772368,normal,chb01_03
0.5514848742528272,0.18027863690279408,0.1864680974562744,0.07386453966246698,0.00790385172563719,0.00012357157595540156,normal,chb01_03
0.6472426317948617,0.1927961051538372,0.11265569415963776,0.039330199589853385,0.00797536930180993,0.0001481334908197871,normal,chb01_03
0.5324293873597707,0.3069363583732717,0.09503598093921307,0.04953858162476142,0.016059691702983145,0.00018445489675924292,normal,chb01_03
0.5092501860616256,0.3609441847092083,0.07130568229228854,0.044568049015495784,0.013931897921381806,0.0001098763970550466,normal,chb01_03
0.5221875853513112,0.2835327795482232,0.11022952145658385,0.06989443266869518,0.01415568097518673,0.00010852089937403084,normal,chb01_03
0.5428191067377165,0.2738293644299213,0.10163942523954954,0.06731571971223241,0.014396383880580281,0.00010480240507115564,normal,chb01_03
0.514092218013894,0.2520266907813346,0.13576445659491218,0.0828546480835977,0.01526198652626138,8.767733862383414e-05,normal,chb01_03
0.5131505124025418,0.25065939977304447,0.1148374508303183,0.10422795820757397,0.017124678786521484,8.775045882571576e-05,normal,chb01_03
0.515614207004193,0.2624607323373415,0.0951800327052611,0.10743680356383949,0.019308224389364793,7.432206106368617e-05,normal,chb01_03
0.4439490488524935,0.25450889274001115,0.16349859108031425,0.12214732174846571,0.015896145578715274,9.911342165502261e-05,normal,chb01_03
0.47611533102938175,0.20328984082128992,0.17605136636168736,0.12436762539030718,0.02017583639733375,7.79713268180134e-05,normal,chb01_03
0.5759669876005579,0.15422971441269046,0.1731954368901317,0.08332366525417052,0.013284195842449479,9.780478146496136e-05,normal,chb01_03
0.5609613258381867,0.22819497582692713,0.12893026578467562,0.07501544266138734,0.0068979898888232635,0.00014945312962003784,normal,chb01_03
0.551129126323713,0.21235206348590563,0.14828966882300124,0.07791781413127084,0.010311327236109388,0.00011359550428697811,normal,chb01_03
0.5684948371634337,0.20165294240688247,0.15122456573879867,0.07091923844518411,0.0077084162457010915,0.00014180541559096838,normal,chb01_03
0.5752122806026587,0.21399338341286422,0.11991999286107853,0.07825729455547958,0.012617048567918995,0.00010762526087781127,normal,chb01_03
